Var,Coef.,Std. Err.,t,P>t,[95% Conf.,Interval]
DC#101,5.818491,0.1962923,29.64,0,5.433765,6.203218
DC#102,5.93501,0.1962239,30.25,0,5.550417,6.319602
DC#103,5.951884,0.2029202,29.33,0,5.554167,6.349601
DC#104,5.980298,0.2038392,29.34,0,5.580779,6.379816
DC#105,6.055222,0.1963076,30.85,0,5.670465,6.439978
DC#106,6.149265,0.2042435,30.11,0,5.748954,6.549576
DC#107,6.116945,0.1933049,31.64,0,5.738073,6.495816
DC#108,6.032222,0.1974672,30.55,0,5.645192,6.419251
DC#109,6.109804,0.1956793,31.22,0,5.726279,6.493329
DC#110,6.024524,0.1977866,30.46,0,5.636869,6.412179
DC#111,6.060836,0.1994339,30.39,0,5.669952,6.45172
DC#112,6.034566,0.1992796,30.28,0,5.643984,6.425147
DC#201,6.175394,0.1977262,31.23,0,5.787857,6.562932
DC#202,6.194789,0.1995078,31.05,0,5.80376,6.585818
DC#203,6.261267,0.1981999,31.59,0,5.872802,6.649733
DC#204,6.284551,0.1993492,31.53,0,5.893833,6.675269
DC#205,6.426332,0.1969722,32.63,0,6.040273,6.812391
DC#206,6.311825,0.1984604,31.8,0,5.922849,6.700801
DC#207,6.394778,0.200093,31.96,0,6.002602,6.786954
DC#208,6.386359,0.1998908,31.95,0,5.994579,6.778138
DC#209,6.443375,0.2007356,32.1,0,6.04994,6.83681
DC#210,6.44144,0.2001888,32.18,0,6.049076,6.833804
DC#211,6.451913,0.1986103,32.49,0,6.062643,6.841183
DC#212,6.489936,0.2032573,31.93,0,6.091558,6.888314
DC#301,6.351648,0.1988591,31.94,0,5.961891,6.741406
DC#302,6.42176,0.2023442,31.74,0,6.025172,6.818348
DC#303,6.418891,0.2003222,32.04,0,6.026265,6.811516
DC#304,6.433316,0.2000063,32.17,0,6.04131,6.825322
DC#305,6.547048,0.2000482,32.73,0,6.15496,6.939136
DC#306,6.510278,0.1992258,32.68,0,6.119802,6.900754
DC#307,6.592663,0.199338,33.07,0,6.201967,6.983359
DC#308,6.596216,0.1994209,33.08,0,6.205357,6.987074
DC#309,6.504892,0.1997434,32.57,0,6.113402,6.896383
DC#310,6.563567,0.1990884,32.97,0,6.17336,6.953774
DC#311,6.498126,0.2056233,31.6,0,6.095111,6.901141
DC#312,6.623241,0.2004695,33.04,0,6.230327,7.016155
DC#401,6.506652,0.1992874,32.65,0,6.116055,6.897249
DC#402,6.547878,0.2003357,32.68,0,6.155227,6.94053
DC#403,6.657133,0.2019686,32.96,0,6.261281,7.052985
DC#404,6.693357,0.2019834,33.14,0,6.297476,7.089238
DC#405,6.621941,0.2014313,32.87,0,6.227142,7.01674
DC#406,6.731734,0.1986894,33.88,0,6.342309,7.121159
DC#407,6.696044,0.1996439,33.54,0,6.304748,7.087339
DC#408,6.753874,0.2009312,33.61,0,6.360055,7.147692
DC#409,6.714075,0.2031929,33.04,0,6.315823,7.112326
