Month,DC,MA,VA
2004-01,18,15,8
2004-02,94,64,43
2004-03,100,63,49
2004-04,23,28,11
2004-05,21,25,14
2004-06,12,19,0
2004-07,13,13,0
2004-08,14,12,6
2004-09,5,11,12
2004-10,15,11,19
2004-11,13,0,19
2004-12,7,10,6
2005-01,16,9,7
2005-02,8,9,8
2005-03,11,8,13
2005-04,6,9,5
2005-05,7,8,7
2005-06,7,8,5
2005-07,7,0,0
2005-08,7,0,4
2005-09,3,0,8
2005-10,10,13,4
2005-11,3,0,4
2005-12,6,6,0
2006-01,6,9,5
2006-02,6,6,7
2006-03,8,5,5
2006-04,4,6,7
2006-05,5,5,5
2006-06,7,0,4
2006-07,3,0,0
2006-08,4,0,6
2006-09,2,10,3
2006-10,7,7,3
2006-11,7,5,6
2006-12,7,5,6
2007-01,6,4,3
2007-02,6,7,11
2007-03,6,6,3
2007-04,4,4,4
2007-05,8,6,7
2007-06,5,0,6
2007-07,4,8,2
2007-08,4,4,6
2007-09,9,5,2
2007-10,8,8,5
2007-11,2,7,4
2007-12,3,0,6
2008-01,2,5,4
2008-02,4,6,4
2008-03,3,25,2
2008-04,2,3,2
2008-05,4,0,3
2008-06,2,3,4
2008-07,3,3,2
2008-08,2,3,2
2008-09,3,9,2
2008-10,3,6,3
2008-11,2,3,2
2008-12,2,6,3
2009-01,5,0,3
2009-02,4,8,4
2009-03,2,4,3
2009-04,4,4,3
2009-05,3,4,5
2009-06,2,9,2
2009-07,1,4,2
2009-08,3,8,2
2009-09,2,0,2
2009-10,2,5,2
2009-11,2,3,1
2009-12,2,5,2
2010-01,2,3,2
2010-02,2,4,3
2010-03,2,2,3
2010-04,3,4,2
2010-05,3,5,2
2010-06,3,3,1
2010-07,2,7,2
2010-08,2,0,2
2010-09,2,3,2
2010-10,2,7,1
2010-11,3,9,3
2010-12,3,9,2
2011-01,5,4,4
2011-02,4,7,6
2011-03,8,6,5
2011-04,5,4,5
2011-05,3,5,4
2011-06,5,3,3
2011-07,3,8,2
2011-08,4,5,3
2011-09,3,2,2
2011-10,5,6,4
2011-11,5,5,3
2011-12,3,7,4
2012-01,5,4,4
2012-02,4,5,5
2012-03,5,10,6
2012-04,3,4,5
2012-05,4,4,3
2012-06,4,4,4
2012-07,3,2,6
2012-08,5,3,5
2012-09,7,7,9
2012-10,4,4,4
2012-11,5,5,6
2012-12,2,3,3
2013-01,2,3,3
2013-02,4,3,6
2013-03,5,4,5
2013-04,5,9,5
2013-05,4,3,4
2013-06,5,7,4
2013-07,4,3,4
2013-08,3,2,3
2013-09,3,3,4
2013-10,6,7,5
2013-11,4,6,5
2013-12,5,4,4
2014-01,5,5,3
2014-02,6,2,4
2014-03,5,5,3
2014-04,4,5,4
2014-05,5,3,4
2014-06,3,4,2
2014-07,3,2,2
2014-08,2,5,2
2014-09,3,5,3
2014-10,5,9,3
2014-11,3,5,2
2014-12,4,6,2
2015-01,2,6,1
2015-02,4,5,2
2015-03,4,7,3
2015-04,6,3,3
2015-05,5,7,3
2015-06,4,3,2
2015-07,3,2,3
2015-08,5,4,2
2015-09,5,5,6
2015-10,7,6,9
2015-11,6,7,4
2015-12,6,5,6
2016-01,22,22,23
2016-02,26,24,23
2016-03,25,26,20
2016-04,20,15,15
2016-05,15,11,9
2016-06,17,10,9
2016-07,11,7,6
2016-08,10,7,7
2016-09,9,9,9
2016-10,8,11,9
2016-11,10,12,8
2016-12,9,8,8
2017-01,8,10,7
2017-02,8,8,9
2017-03,11,11,11
2017-04,11,10,9
2017-05,8,10,7
2017-06,7,7,8
2017-07,6,6,5
2017-08,7,7,4
2017-09,8,11,8
2017-10,10,9,7
2017-11,9,12,6
2017-12,14,11,9
